data,tendencia,confirmados
2020-03-25,1.0,1.0
2020-05-26,1.3157672929250372,2.0
2020-05-28,1.7021633327864143,3.0
2020-05-29,2.1752718642029403,4.0
2020-05-30,2.7544932568794995,5.0
2020-06-02,3.4634726804373317,3.0
2020-06-04,4.331245043710575,4.0
2020-06-09,5.3934773912932075,6.0
2020-06-11,6.6936602862659775,9.0
2020-06-12,8.284925387440488,10.0
2020-06-16,10.232287464637462,17.0
2020-06-27,12.615144172026266,5.0
2020-06-29,15.53041636292334,6.0
2020-07-08,19.096742172554244,7.0
2020-07-10,23.45860204843668,8.0
2020-07-15,28.79215865618373,9.0
2020-07-18,34.43037721332522,10.0
2020-07-19,36.83305751363305,11.0
2020-07-21,39.27131910694252,12.0
2020-08-02,41.74560962651903,13.0
2020-08-04,44.25640456388995,14.0
2020-08-07,46.80417839673364,18.0
2020-08-08,49.389388551886405,21.0
2020-08-11,52.01249228531185,22.0
2020-08-12,54.673952725761254,23.0
2020-08-14,57.37423648690526,24.0
2020-08-15,60.113827855438686,29.0
2020-08-16,62.893202888427034,33.0
2020-08-17,65.71283583359131,39.0
2020-08-18,68.573216540969,40.0
2020-08-19,71.47481979683917,41.0
2020-08-20,74.41814635023405,42.0
2020-08-25,77.40367777371532,50.0
2020-08-26,80.43190890134643,55.0
2020-08-27,83.5033350777781,56.0
2020-08-28,86.61845200760693,58.0
2020-08-29,89.77775885829732,80.0
2020-08-30,92.98175826018158,91.0
2020-09-01,96.23095630645984,98.0
2020-09-02,99.52586255320017,107.0
2020-09-03,102.86698662464988,119.0
2020-09-04,106.25482198741085,129.0
2020-09-05,109.68987542831854,132.0
2020-09-06,113.17265865951543,140.0
2020-09-07,116.70368566000198,143.0
2020-09-08,120.28347267563686,146.0
2020-09-09,123.91253821913685,159.0
2020-09-10,127.59140307007678,160.0
2020-09-11,131.3205805618333,161.0
2020-09-13,135.1005655905677,165.0
2020-09-14,138.93187069995344,166.0
2020-09-16,142.81501008585633,168.0
2020-09-18,146.75049864814682,170.0
2020-09-19,150.73885199069983,171.0
2020-09-20,154.78058642139493,173.0
2020-09-24,158.8762189521162,174.0
2020-09-27,163.02625155875776,176.0
2020-09-29,167.23117805887728,177.0
2020-10-02,171.49150439534216,178.0
2020-10-04,175.8077357931751,179.0
2020-10-05,180.18037675676675,180.0
2020-10-06,184.60993106987556,181.0
2020-10-08,189.096901795628,186.0
2020-10-10,193.6417903778637,188.0
2020-10-13,198.24507029659645,190.0
2020-10-14,202.90721775768543,193.0
2020-10-15,207.62871617977476,194.0
2020-10-16,212.4100464938622,196.0
2020-10-17,217.25168714329945,197.0
2020-10-18,222.15411408379197,199.0
2020-10-21,227.11780078339893,201.0
2020-10-23,232.14321439916318,203.0
2020-10-24,237.23078996435285,204.0
2020-10-27,242.38097035058047,205.0
2020-10-28,247.5941979818761,207.0
2020-11-06,252.87091025042534,209.0
2020-11-07,258.21153951656913,210.0
2020-11-10,263.6165129314149,211.0
2020-11-11,269.0862364772825,214.0
2020-11-14,274.62110825199363,215.0
2020-11-15,280.2215271077091,217.0
2020-11-19,285.8878851832332,222.0
2020-11-20,291.62056790401374,227.0
2020-11-21,297.41995398214186,231.0
2020-11-22,303.28640494624335,235.0
2020-11-23,309.2202555587178,237.0
2020-11-25,315.2218468677455,250.0
2020-11-26,321.291511616565,255.0
2020-11-27,327.42957361862244,259.0
2020-11-29,333.6363477575721,272.0
2020-11-30,339.91213650604675,273.0
2020-12-01,346.2572064717059,285.0
2020-12-02,352.6718247282194,287.0
2020-12-03,359.15625126779787,296.0
2020-12-04,365.7107348404949,310.0
2020-12-05,372.33551295420824,323.0
2020-12-06,379.03084057101455,336.0
2020-12-07,385.7968347394409,367.0
2020-12-08,392.6337269612702,391.0
2020-12-09,399.54168657141815,411.0
2020-12-10,406.52087086236406,420.0
2020-12-12,413.5714247075122,423.0
2020-12-13,420.6934801845534,424.0
2020-12-14,427.88714584397735,447.0
2020-12-15,435.1524968884894,470.0
2020-12-16,442.4896069118939,481.0
2020-12-17,449.89853266322564,515.0
2020-12-18,457.37931282367714,522.0
2020-12-19,464.9319674009326,528.0
2020-12-20,472.55649712350095,532.0
2020-12-21,480.2528828350497,537.0
2020-12-22,488.0210866952481,540.0
2020-12-23,495.8610532768413,541.0
2020-12-24,503.7727032789641,552.0
2020-12-25,511.7559355372383,555.0
2020-12-27,519.8106265709667,570.0
2020-12-31,527.9366300178133,573.0
2021-01-02,536.1337760684817,577.0
2021-01-03,544.4018709013961,587.0
2021-01-04,552.7407065897655,589.0
2021-01-05,561.1500707305739,595.0
2021-01-06,569.6297124887602,596.0
2021-01-09,578.1793573315882,598.0
2021-01-13,586.798707380462,600.0
2021-01-15,595.4874410817824,602.0
2021-01-16,604.2452128778052,606.0
2021-01-17,613.0716528774985,nan
2021-01-18,621.9663704937377,nan
2021-01-19,630.9289580991518,nan
2021-01-20,639.9589778755867,nan
2021-01-21,649.0559673312272,nan
2021-01-22,658.2194393309028,nan
2021-01-23,667.4488818572771,nan
2021-01-24,676.7437577720345,nan
2021-01-25,686.1035045770698,nan
2021-01-26,695.5275387656627,nan
2021-01-27,705.0152603404139,nan
2021-01-28,714.5660375325203,nan
2021-01-29,724.1792133883162,nan
2021-01-30,733.8541059608348,nan
2021-01-31,743.5900081765651,nan
2021-02-01,753.3861877022052,nan
2021-02-02,763.2418868114199,nan
2021-02-03,773.1563279129454,nan
2021-02-04,783.1287197985998,nan
2021-02-05,793.1582380387895,nan
2021-02-06,803.2440337984096,nan
2021-02-07,813.3852341450752,nan
2021-02-08,823.5809420491198,nan
2021-02-09,833.8302363835974,nan
2021-02-10,844.1321719242812,nan
2021-02-11,854.4857852012743,nan
2021-02-12,864.8901015039858,nan
2021-02-13,875.3441150110341,nan
2021-02-14,885.8467969903108,nan
2021-02-15,896.397096238836,nan
2021-02-16,906.9939391991627,nan
2021-02-17,917.6362414295158,nan
2021-02-18,928.3228989361605,nan
2021-02-19,939.0527815062094,nan
2021-02-20,949.8247379516104,nan
2021-02-21,960.6375961091459,nan
2021-02-22,971.4901658963108,nan
2021-02-23,982.3812592731138,nan
2021-02-24,993.3096603178393,nan
2021-02-25,1004.2741312684433,nan
2021-02-26,1015.2734157896336,nan
2021-02-27,1026.3062389728723,nan
2021-02-28,1037.3713193797257,nan
2021-03-01,1048.4673784131996,nan
2021-03-02,1059.5931063693195,nan
2021-03-03,1070.7471774092196,nan
2021-03-04,1081.928250052301,nan
2021-03-05,1093.1349677099047,nan
2021-03-06,1104.3659861643637,nan
2021-03-07,1115.619949258281,nan
2021-03-08,1126.895477862625,nan
2021-03-09,1138.1911806111245,nan
2021-03-10,1149.505653900267,nan
2021-03-11,1160.8374878104376,nan
2021-03-12,1172.1852961783352,nan
2021-03-13,1183.547668146755,nan
2021-03-14,1194.9231801347082,nan
2021-03-15,1206.3104001016513,nan
2021-03-16,1217.707887547484,nan
2021-03-17,1229.1142122425076,nan
2021-03-18,1240.5279620743795,nan
2021-03-19,1251.9476997554643,nan
2021-03-20,1263.3719832004629,nan
2021-03-21,1274.7993658866342,nan
2021-03-22,1286.2283691664547,nan
2021-03-23,1297.6576503170957,nan
2021-03-24,1309.0857293914876,nan
2021-03-25,1320.5111782647598,nan
2021-03-26,1331.9325659950787,nan
2021-03-27,1343.3484595540701,nan
2021-03-28,1354.7574313573712,nan
2021-03-29,1366.1580872509294,nan
2021-03-30,1377.5490215807597,nan
