data,tendencia,confirmados
2020-03-31,0.9999999999999999,1.0
2020-04-01,1.2183892787441057,1.0
2020-04-02,1.4505130947616265,1.0
2020-04-03,1.697199475420194,2.0
2020-04-04,1.9594802703411527,5.0
2020-04-05,2.2381401540452424,6.0
2020-04-06,2.5344024056151815,6.0
2020-04-07,2.849383259313151,7.0
2020-04-08,3.18419894940133,15.0
2020-04-09,3.539965710141897,15.0
2020-04-10,3.91820110908459,15.0
2020-04-11,4.320607841093648,15.0
2020-04-12,4.748571529231652,19.0
2020-04-13,5.203477791195725,20.0
2020-04-14,5.686712244682984,20.0
2020-04-15,6.199985601712855,20.0
2020-04-16,6.746024743274965,20.0
2020-04-17,7.326820505057183,20.0
2020-04-18,7.9442836778378965,23.0
2020-04-19,8.600325052395487,23.0
2020-04-20,9.296956260814202,23.0
2020-04-21,10.037771993845242,26.0
2020-04-22,10.825851201196038,26.0
2020-04-23,11.66384588578049,26.0
2020-04-24,12.554408050512503,28.0
2020-04-25,13.500189698305977,28.0
2020-04-26,14.505286129835625,28.0
2020-04-27,15.574624009321537,28.0
2020-04-28,16.711877485339738,28.0
2020-04-29,17.92071961239918,31.0
2020-04-30,19.204823445008802,31.0
2020-05-01,20.568535074657024,33.0
2020-05-02,22.018663583516396,34.0
2020-05-03,23.560549854242353,35.0
2020-05-04,25.199336364888904,35.0
2020-05-05,26.940462954854354,35.0
2020-05-06,28.791886644432637,35.0
2020-05-07,30.760569912651953,43.0
2020-05-08,32.85305119226631,43.0
2020-05-09,35.07599027688866,45.0
2020-05-10,37.43925640325399,45.0
2020-05-11,39.9523093845478,49.0
2020-05-12,42.623596611553566,50.0
2020-05-13,45.46157042621311,58.0
2020-05-14,48.47754642364724,58.0
2020-05-15,51.68413044796831,63.0
2020-05-16,55.092312648456506,74.0
2020-05-17,58.71395513570856,75.0
2020-05-18,62.5645384145802,83.0
2020-05-19,66.65777044190882,95.0
2020-05-20,71.00715375816893,97.0
2020-05-21,75.63040179181027,97.0
2020-05-22,80.54558619099407,106.0
2020-05-23,85.76924699148265,107.0
2020-05-24,91.32245876766358,109.0
2020-05-25,97.22192589944055,110.0
2020-05-26,103.49450054352768,117.0
2020-05-27,110.15948022650068,122.0
2020-05-28,117.24210048230987,128.0
2020-05-29,124.76939720331552,134.0
2020-05-30,132.76955509120063,145.0
2020-05-31,141.2727708434967,152.0
2020-06-01,150.3103356712843,159.0
2020-06-02,159.91576121789947,178.0
2020-06-03,170.1246143597785,198.0
2020-06-04,180.97465634575985,217.0
2020-06-05,192.50655555883552,223.0
2020-06-06,204.76273002619308,256.0
2020-06-07,217.78768700592093,262.0
2020-06-08,231.62933968323935,268.0
2020-06-09,246.34014059534195,282.0
2020-06-10,261.97403823676484,313.0
2020-06-11,278.5865147260725,329.0
2020-06-12,296.24245074147075,341.0
2020-06-13,315.00533728893345,357.0
2020-06-14,334.94412923940735,361.0
2020-06-15,356.1309542417721,369.0
2020-06-16,378.6444115607737,393.0
2020-06-17,402.5678631851581,406.0
2020-06-18,427.9887625917085,446.0
2020-06-19,454.9998417781843,460.0
2020-06-20,483.699789102247,486.0
2020-06-21,514.1938892161892,491.0
2020-06-22,546.5937097056994,523.0
2020-06-23,581.017763750855,555.0
2020-06-24,617.5918278169144,573.0
2020-06-25,656.448928829202,599.0
2020-06-26,697.7301747356703,631.0
2020-06-27,741.5850259748437,638.0
2020-06-28,788.1716505698586,645.0
2020-06-29,837.6588819080436,674.0
2020-06-30,890.2257265114075,729.0
2020-07-01,946.0611599745098,798.0
2020-07-02,1005.3650501478654,832.0
2020-07-03,1068.3496681757297,884.0
2020-07-04,1135.241330848375,902.0
2020-07-05,1206.278437265562,912.0
2020-07-06,1281.7130170128532,934.0
2020-07-07,1361.8116585521207,986.0
2020-07-08,1429.0376460773475,1069.0
2020-07-09,1490.4547593042544,1075.0
2020-07-10,1552.0512832926966,1101.0
2020-07-11,1613.8270911194106,1151.0
2020-07-12,1675.7799593419293,1155.0
2020-07-13,1737.9089527182032,1188.0
2020-07-14,1800.2147921237988,1231.0
2020-07-15,1862.6907398319838,1286.0
2020-07-16,1925.3406056226138,1365.0
2020-07-17,1988.162415396856,1524.0
2020-07-18,2051.1541860981206,1587.0
2020-07-19,2114.3142933489,1610.0
2020-07-20,2177.6411127716856,1643.0
2020-07-21,2241.13301998897,1773.0
2020-07-22,2304.7883906232446,1860.0
2020-07-23,2368.6057232347093,1950.0
2020-07-24,2432.5838153143545,2111.0
2020-07-25,2496.721206751868,2152.0
2020-07-26,2561.0164177312504,2174.0
2020-07-27,2625.467968436505,2209.0
2020-07-28,2690.0743790516344,2333.0
2020-07-29,2754.8341534066303,2417.0
2020-07-30,2819.7455239036726,2477.0
2020-07-31,2884.806821684737,2515.0
2020-08-01,2950.016457391027,2572.0
2020-08-02,3015.372841663748,2611.0
2020-08-03,3080.8743851441054,2665.0
2020-08-04,3146.519498473305,2742.0
2020-08-05,3212.3058043981705,2854.0
2020-08-06,3278.2330549405788,2854.0
2020-08-07,3344.2983929848683,3148.0
2020-08-08,3410.5001892304617,3289.0
2020-08-09,3476.8367977196417,3292.0
2020-08-10,3543.306555837553,3350.0
2020-08-11,3609.907751992944,3406.0
2020-08-12,3676.638466950423,3567.0
2020-08-13,3743.496886046771,3654.0
2020-08-14,3810.4812031327365,3727.0
2020-08-15,3877.5895897300534,3834.0
2020-08-16,3944.820195031451,3836.0
2020-08-17,4012.1711459006465,3925.0
2020-08-18,4079.6405468723474,3970.0
2020-08-19,4147.226480152251,4132.0
2020-08-20,4214.927005617048,4333.0
2020-08-21,4282.7401608144155,4414.0
2020-08-22,4350.663960963023,4485.0
2020-08-23,4418.696511195782,4541.0
2020-08-24,4486.835969242904,4669.0
2020-08-25,4555.080353692975,4835.0
2020-08-26,4623.4276656078,4990.0
2020-08-27,4691.875889090592,5091.0
2020-08-28,4760.422991285972,5239.0
2020-08-29,4829.066922379972,5239.0
2020-08-30,4897.805615600033,5266.0
2020-08-31,4966.636987215003,5308.0
2020-09-01,5035.55893653514,5373.0
2020-09-02,5104.56934591211,5555.0
2020-09-03,5173.66609729682,5683.0
2020-09-04,5242.84723938525,5731.0
2020-09-05,5312.110715428155,5760.0
2020-09-06,5381.4544118219055,5762.0
2020-09-07,5450.876203356043,5787.0
2020-09-08,5520.373953213292,5824.0
2020-09-09,5589.945512969555,5920.0
2020-09-10,5659.588722593912,6068.0
2020-09-11,5729.301410448623,6144.0
2020-09-12,5799.081393289125,6182.0
2020-09-13,5868.926476264036,6267.0
2020-09-14,5938.834452915152,6428.0
2020-09-15,6008.803148942418,6515.0
2020-09-16,6078.830442969668,6688.0
2020-09-17,6148.914132780491,6822.0
2020-09-18,6219.052004968691,6911.0
2020-09-19,6289.24183736829,7026.0
2020-09-20,6359.481399053541,7036.0
2020-09-21,6429.7684503389155,7150.0
2020-09-22,6500.100742779113,7225.0
2020-09-23,6570.47601916905,7350.0
2020-09-24,6640.892013543874,7480.0
2020-09-25,6711.346451178953,7544.0
2020-09-26,6781.836629267582,7627.0
2020-09-27,6852.361366478696,7629.0
2020-09-28,6922.917808345708,7686.0
2020-09-29,6993.503700244694,7783.0
2020-09-30,7064.116779402292,7944.0
2020-10-01,7134.754775168374,8019.0
2020-10-02,7205.415409288688,8087.0
2020-10-03,7276.096396177537,8170.0
2020-10-04,7346.795443190422,8180.0
2020-10-05,7417.510250896706,8261.0
2020-10-06,7488.238513352272,8392.0
2020-10-07,7558.9779183721885,8392.0
2020-10-08,7629.726182965514,8666.0
2020-10-09,7700.481111842385,8746.0
2020-10-10,7771.240422544615,8806.0
2020-10-11,7842.001823831315,8807.0
2020-10-12,7912.763023689293,8817.0
2020-10-13,7983.521729764408,8887.0
2020-10-14,8054.275649792922,8923.0
2020-10-15,8125.022492032854,9029.0
2020-10-16,8195.759965695328,9082.0
2020-10-17,8266.485781375932,9115.0
2020-10-18,8337.197651486065,9144.0
2020-10-19,8407.893290684295,9232.0
2020-10-20,8478.570416307706,9368.0
2020-10-21,8549.226748803252,9461.0
2020-10-22,8619.86001215911,9536.0
2020-10-23,8690.467934515676,9611.0
2020-10-24,8761.048254076471,9657.0
2020-10-25,8831.598712371802,9715.0
2020-10-26,8902.117054097473,9748.0
2020-10-27,8972.6010298647,9811.0
2020-10-28,9043.04839664004,9882.0
2020-10-29,9113.456918185304,9967.0
2020-10-30,9183.824365497454,9984.0
2020-10-31,9254.148517248519,10020.0
2020-11-01,9324.427160225514,10047.0
2020-11-02,9394.658089770344,10079.0
2020-11-03,9464.839110219717,10112.0
2020-11-04,9534.96803534505,10140.0
2020-11-05,9605.042688792393,10249.0
2020-11-06,9675.060904522325,10309.0
2020-11-07,9745.020527249875,10359.0
2020-11-08,9814.9193734094,10359.0
2020-11-09,9884.755196361586,10366.0
2020-11-10,9954.525835773511,10441.0
2020-11-11,10024.229144365818,10462.0
2020-11-12,10093.862984081345,10523.0
2020-11-13,10163.425226381205,10582.0
